,Unnamed: 0,Make,Model,Vehicle_Type,Engine_Capacity,Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),vehicle_age,Distance_Driven_Last_Month,Fuel_Consumed_Last_Month,CO2 Emissions(g/km)
23,23,AUDI,A5 CABRIOLET QUATTRO,1,2.0,4,1,1,11.5,8.1,10.0,28,4,900.0,90.0,230
24,24,AUDI,A5 QUATTRO,1,2.0,4,1,1,11.5,8.1,10.0,28,4,900.0,90.0,230
25,25,AUDI,A5 QUATTRO,1,2.0,4,2,1,10.8,7.5,9.3,30,4,900.0,83.7,214
26,26,AUDI,A6 QUATTRO,1,2.0,4,1,1,12.0,8.1,10.2,28,4,900.0,91.8,235
27,27,AUDI,A6 QUATTRO,1,3.0,6,1,1,12.8,8.6,10.9,26,4,1000.0,109.0,251
28,28,AUDI,A6 QUATTRO TDI (modified),1,3.0,6,1,2,9.8,6.2,8.1,35,4,800.0,64.8,217
29,29,AUDI,A7 QUATTRO,1,3.0,6,1,1,13.3,8.5,11.2,25,4,1000.0,112.0,262
30,30,AUDI,A7 QUATTRO TDI (modified),1,3.0,6,1,2,9.8,6.2,8.1,35,4,800.0,64.8,217
31,31,AUDI,A8,1,3.0,6,1,1,13.1,8.8,11.2,25,4,1000.0,112.0,258
32,32,AUDI,A8,1,4.0,8,1,1,13.7,8.3,11.3,25,4,1100.0,124.3,265
33,33,AUDI,A8 TDI (modified),1,3.0,6,1,2,9.8,6.5,8.4,34,4,800.0,67.2,224
34,34,AUDI,A8L,1,3.0,6,1,1,13.1,8.8,11.2,25,4,1000.0,112.0,258
35,35,AUDI,A8L,1,4.0,8,1,1,14.7,9.7,12.5,23,5,1100.0,137.5,288
36,36,AUDI,A8L,1,6.3,12,1,1,18.7,11.5,15.5,18,5,1330.0,206.15,363
37,37,AUDI,A8L TDI (modified),1,3.0,6,1,2,9.8,6.5,8.4,34,4,800.0,67.2,224
38,38,AUDI,ALLROAD QUATTRO,1,2.0,4,1,1,11.8,8.8,10.5,27,4,900.0,94.5,242
39,39,AUDI,Q5,1,2.0,4,1,1,12.0,8.5,10.4,27,4,900.0,93.6,239
40,40,AUDI,Q5,1,3.0,6,1,1,12.9,9.2,11.2,25,4,1000.0,112.0,258
41,41,AUDI,Q5 TDI (modified),1,3.0,6,1,2,10.2,7.8,9.0,31,4,800.0,72.0,244
42,42,AUDI,Q5 HYBRID,1,2.0,4,1,1,9.9,8.3,9.2,31,4,900.0,82.8,212
43,43,AUDI,Q7,1,3.0,6,1,1,15.1,10.9,13.2,21,5,1000.0,132.0,304
44,44,AUDI,Q7 TDI (modified),1,3.0,6,1,2,12.4,8.7,10.7,26,4,800.0,85.6,290
45,45,AUDI,R8,1,4.2,8,1,1,17.6,11.0,14.6,19,5,1120.0,163.52,336
46,46,AUDI,R8,1,4.2,8,2,1,21.2,13.4,17.7,16,6,1020.0,180.54,407
47,47,AUDI,R8,1,5.2,10,1,1,18.2,10.6,14.8,19,5,1220.0,180.56,347
48,48,AUDI,R8,1,5.2,10,2,1,21.1,13.8,17.8,16,6,1120.0,199.36,409
49,49,AUDI,R8 SPYDER,1,4.2,8,1,1,17.6,11.0,14.6,19,5,1120.0,163.52,336
50,50,AUDI,R8 SPYDER,1,4.2,8,2,1,21.2,13.4,17.7,16,6,1020.0,180.54,407
51,51,AUDI,R8 SPYDER,1,5.2,10,1,1,18.2,10.6,14.8,19,5,1220.0,180.56,347
52,52,AUDI,R8 SPYDER,1,5.2,10,2,1,21.1,13.8,17.8,16,6,1120.0,199.36,409
53,53,AUDI,RS 5,1,4.2,8,1,1,15.3,10.9,13.3,21,5,1120.0,148.96,306
54,54,AUDI,RS 5 CABRIOLET,1,4.2,8,1,1,15.2,11.3,13.4,21,5,1120.0,150.08,308
55,55,AUDI,RS 7,1,4.0,8,1,1,15.5,8.8,12.5,23,5,1100.0,137.5,293
56,56,AUDI,S4,1,3.0,6,1,1,13.2,9.2,11.4,25,4,1000.0,114.0,262
57,57,AUDI,S4,1,3.0,6,2,1,14.6,9.8,12.4,23,5,1000.0,124.0,285
58,58,AUDI,S5,1,3.0,6,1,1,13.2,9.2,11.4,25,4,1000.0,114.0,262
59,59,AUDI,S5,1,3.0,6,2,1,14.6,9.8,12.4,23,5,1000.0,124.0,285
60,60,AUDI,S5 CABRIOLET,1,3.0,6,1,1,13.3,9.5,11.6,24,4,1000.0,116.0,267
61,61,AUDI,S6,1,4.0,8,1,1,14.2,9.7,12.2,23,5,1100.0,134.2,281
62,62,AUDI,S7,1,4.0,8,1,1,14.2,9.7,12.2,23,5,1100.0,134.2,281
63,63,AUDI,S8,1,4.0,8,1,1,15.8,9.2,12.8,22,5,1100.0,140.8,300
64,64,AUDI,SQ5,1,3.0,6,1,1,14.9,10.1,12.7,22,5,1000.0,127.0,292
65,65,AUDI,TT COUPE QUATTRO,1,2.0,4,1,1,10.4,7.6,9.1,31,4,900.0,81.9,209
66,66,AUDI,TT ROADSTER QUATTRO,1,2.0,4,1,1,10.4,7.6,9.1,31,4,900.0,81.9,209
67,67,AUDI,TTS COUPE QUATTRO,1,2.0,4,1,1,11.5,8.8,10.3,27,4,900.0,92.7,237
68,68,AUDI,TTS ROADSTER QUATTRO,1,2.0,4,1,1,11.5,8.8,10.3,27,4,900.0,92.7,237
69,69,BENTLEY,CONTINENTAL GT,1,4.0,8,1,1,16.3,9.8,13.4,21,5,1100.0,147.4,314
70,70,BENTLEY,CONTINENTAL GT,1,6.0,12,1,1,18.8,11.5,15.5,18,5,1300.0,201.5,356
71,71,BENTLEY,CONTINENTAL GTC,1,4.0,8,1,1,17.4,10.2,14.2,20,5,1100.0,156.2,332
72,72,BENTLEY,CONTINENTAL GTC,1,6.0,12,1,1,20.0,12.2,16.5,17,6,1200.0,198.0,380
73,73,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,1,6.0,12,1,1,20.0,12.2,16.5,17,6,1200.0,198.0,380
74,74,BENTLEY,FLYING SPUR,1,6.0,12,1,1,20.3,11.9,16.5,17,6,1200.0,198.0,388
75,75,BENTLEY,MULSANNE,1,6.8,8,1,1,22.3,14.9,19.0,15,6,1280.0,243.2,437
76,76,BMW,320i,1,2.0,4,1,1,10.0,6.5,8.4,34,4,900.0,75.6,193
77,77,BMW,320i,1,2.0,4,2,1,10.4,6.7,8.7,32,4,900.0,78.3,200
78,78,BMW,320i xDRIVE,1,2.0,4,1,1,10.2,7.0,8.8,32,4,900.0,79.2,202
79,79,BMW,328d xDRIVE,1,2.0,4,1,2,7.6,5.5,6.7,42,4,700.0,46.9,181
80,80,BMW,328d xDRIVE TOURING,1,2.0,4,1,2,7.6,5.5,6.7,42,4,700.0,46.9,181
81,81,BMW,328i,1,2.0,4,1,1,10.0,6.5,8.4,34,4,900.0,75.6,193
82,82,BMW,328i,1,2.0,4,2,1,10.4,6.7,8.7,32,4,900.0,78.3,200
83,83,BMW,328i xDRIVE,1,2.0,4,1,1,10.6,7.2,9.1,31,4,900.0,81.9,209
84,84,BMW,328i xDRIVE GRAN TURISMO,1,2.0,4,1,1,10.6,7.2,9.1,31,4,900.0,81.9,209
85,85,BMW,328i xDRIVE TOURING,1,2.0,4,1,1,10.6,7.2,9.1,31,4,900.0,81.9,209
86,86,BMW,335i,1,3.0,6,1,1,11.4,7.3,9.6,29,4,1000.0,96.0,221
87,87,BMW,335i,1,3.0,6,2,1,11.8,7.9,10.0,28,4,1000.0,100.0,230
88,88,BMW,335i xDRIVE,1,3.0,6,1,1,11.7,7.8,9.9,29,4,1000.0,99.0,228
89,89,BMW,335i xDRIVE,1,3.0,6,2,1,11.9,8.3,10.3,27,4,1000.0,103.0,237
90,90,BMW,335i xDRIVE GRAN TURISMO,1,3.0,6,1,1,11.9,8.0,10.1,28,4,1000.0,101.0,232
91,91,BMW,428i COUPE,1,2.0,4,1,1,10.0,6.5,8.4,34,4,900.0,75.6,193
92,92,BMW,428i COUPE,1,2.0,4,2,1,10.4,6.7,8.7,32,4,900.0,78.3,200
93,93,BMW,428i xDRIVE COUPE,1,2.0,4,1,1,10.6,7.2,9.1,31,4,900.0,81.9,209
94,94,BMW,435i COUPE,1,3.0,6,1,1,11.4,7.3,9.6,29,4,1000.0,96.0,221
95,95,BMW,435i COUPE,1,3.0,6,2,1,11.8,7.9,10.0,28,4,1000.0,100.0,230
96,96,BMW,435i xDRIVE COUPE,1,3.0,6,1,1,11.7,7.8,9.9,29,4,1000.0,99.0,228
97,97,BMW,435i xDRIVE COUPE,1,3.0,6,2,1,11.9,8.3,10.3,27,4,1000.0,103.0,237
98,98,BMW,528i,1,2.0,4,1,1,10.2,7.0,8.8,32,4,900.0,79.2,202
99,99,BMW,528i xDRIVE,1,2.0,4,1,1,10.6,7.2,9.1,31,4,900.0,81.9,209
100,100,BMW,535d xDRIVE,1,3.0,6,1,2,9.2,6.4,7.9,36,4,800.0,63.2,213
101,101,BMW,535i xDRIVE,1,3.0,6,1,1,11.9,8.0,10.1,28,4,1000.0,101.0,232
102,102,BMW,535i xDRIVE GRAN TURISMO,1,3.0,6,1,1,12.5,8.6,10.7,26,4,1000.0,107.0,246
103,103,BMW,550i xDRIVE,1,4.4,8,1,1,14.4,9.6,12.2,23,5,1140.0,139.08,281
104,104,BMW,550i xDRIVE GRAN TURISMO,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
105,105,BMW,640i xDRIVE GRAN COUPE,1,3.0,6,1,1,11.9,8.0,10.1,28,4,1000.0,101.0,232
106,106,BMW,650i xDRIVE CABRIOLET,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
107,107,BMW,650i xDRIVE COUPE,1,4.4,8,1,1,14.4,9.6,12.2,23,5,1140.0,139.08,281
108,108,BMW,650i xDRIVE GRAN COUPE,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
109,109,BMW,740Li xDRIVE,1,3.0,6,1,1,12.5,8.6,10.7,26,4,1000.0,107.0,246
110,110,BMW,750i xDRIVE,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
111,111,BMW,750Li xDRIVE,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
112,112,BMW,760Li,1,6.0,12,1,1,18.7,11.5,15.5,18,5,1300.0,201.5,356
113,113,BMW,ACTIVEHYBRID 3,1,3.0,6,1,1,9.2,7.1,8.3,34,4,1000.0,83.0,191
114,114,BMW,ACTIVEHYBRID 5,1,3.0,6,1,1,10.5,7.9,9.3,30,4,1000.0,93.0,214
115,115,BMW,ACTIVEHYBRID 7L,1,3.0,6,1,1,10.5,7.6,9.2,31,4,1000.0,92.0,212
116,116,BMW,ALPINA B7 xDRIVE LWB,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
117,117,BMW,ALPINA B7 xDRIVE SWB,1,4.4,8,1,1,15.0,9.8,12.7,22,5,1140.0,144.78,292
118,118,BMW,M5,1,4.4,8,1,1,17.3,11.5,14.7,19,5,1140.0,167.58,338
119,119,BMW,M5,1,4.4,8,2,1,16.2,10.9,13.8,20,5,1140.0,157.32,317
120,120,BMW,M6,1,4.4,8,1,1,17.3,11.5,14.7,19,5,1140.0,167.58,338
121,121,BMW,M6,1,4.4,8,2,1,16.2,10.9,13.8,20,5,1140.0,157.32,317
122,122,BMW,M6 CABRIOLET,1,4.4,8,1,1,17.3,11.5,14.7,19,5,1140.0,167.58,338
123,123,BMW,M6 CABRIOLET,1,4.4,8,2,1,16.2,10.9,13.8,20,5,1140.0,157.32,317
124,124,BMW,M6 GRAN COUPE,1,4.4,8,1,1,17.3,11.5,14.7,19,5,1140.0,167.58,338
125,125,BMW,M6 GRAN COUPE,1,4.4,8,2,1,16.2,10.9,13.8,20,5,1140.0,157.32,317
126,126,BMW,X1 xDRIVE28i,1,2.0,4,1,1,10.6,7.2,9.1,31,4,900.0,81.9,209
127,127,BMW,X1 xDRIVE35i,1,3.0,6,1,1,13.2,8.9,11.3,25,4,1000.0,113.0,260
128,128,BMW,X3 xDRIVE28i,1,2.0,4,1,1,11.2,8.5,10.0,28,4,900.0,90.0,230
129,129,BMW,X3 xDRIVE35i,1,3.0,6,1,1,12.6,9.1,11.0,26,4,1000.0,110.0,253
130,130,BMW,X5 xDRIVE35i,1,3.0,6,1,1,12.9,8.8,11.1,25,4,1000.0,111.0,255
131,131,BMW,X5 xDRIVE50i,1,4.4,8,1,1,16.3,10.9,13.9,20,5,1140.0,158.46,320
132,132,BMW,X6 M,1,4.4,8,1,1,18.1,13.7,16.1,18,6,1040.0,167.44,370
133,133,BMW,X6 xDRIVE35i,1,3.0,6,1,1,13.6,9.8,11.9,24,5,1000.0,119.0,274
134,134,BMW,X6 xDRIVE50i,1,4.4,8,1,1,16.4,11.3,14.1,20,5,1140.0,160.74,324
135,135,BMW,Z4 sDRIVE28i,1,2.0,4,1,1,10.8,7.1,9.1,31,4,900.0,81.9,209
136,136,BMW,Z4 sDRIVE28i,1,2.0,4,2,1,10.4,6.7,8.7,32,4,900.0,78.3,200
137,137,BMW,Z4 sDRIVE35i,1,3.0,6,1,1,13.7,10.1,12.1,23,5,1000.0,121.0,278
138,138,BMW,Z4 sDRIVE35i,1,3.0,6,2,1,12.7,9.0,11.0,26,4,1000.0,110.0,253
139,139,BMW,Z4 sDRIVE35is,1,3.0,6,1,1,13.7,10.1,12.1,23,5,1000.0,121.0,278
140,140,BUICK,ENCLAVE,1,3.6,6,1,3,14.3,9.9,12.3,23,5,860.0,105.78,283
141,141,BUICK,ENCLAVE AWD,1,3.6,6,1,3,14.6,10.2,12.6,22,5,860.0,108.36,290
142,142,BUICK,ENCORE,1,1.4,4,1,3,9.5,7.2,8.5,33,4,640.0,54.4,196
143,143,BUICK,ENCORE AWD,1,1.4,4,1,3,10.2,8.0,9.2,31,4,640.0,58.88,212
144,144,BUICK,LACROSSE,1,3.6,6,1,3,13.7,8.7,11.5,25,4,860.0,98.9,264
146,146,BUICK,LACROSSE AWD,1,3.6,6,1,3,13.7,8.9,11.5,25,4,860.0,98.9,264
148,148,BUICK,LACROSSE eASSIST,1,2.4,4,1,3,9.6,6.5,8.2,34,4,740.0,60.67999999999999,189
149,149,BUICK,REGAL,1,2.0,4,1,1,11.5,7.9,9.9,29,4,900.0,89.1,228
150,150,BUICK,REGAL,1,2.0,4,2,1,11.6,7.5,9.8,29,4,900.0,88.2,225
151,151,BUICK,REGAL AWD,1,2.0,4,1,1,12.3,8.7,10.7,26,4,900.0,96.3,246
152,152,BUICK,REGAL eASSIST,1,2.4,4,1,3,9.6,6.5,8.2,34,4,740.0,60.67999999999999,189
153,153,BUICK,VERANO,1,2.0,4,1,1,11.5,7.9,9.9,29,4,900.0,89.1,228
154,154,BUICK,VERANO,1,2.0,4,2,1,11.6,7.5,9.8,29,4,900.0,88.2,225
155,155,BUICK,VERANO,1,2.4,4,1,3,11.3,7.4,9.5,30,4,740.0,70.3,218
156,156,CADILLAC,ATS,1,2.0,4,1,1,11.3,7.5,9.6,29,4,900.0,86.4,221
157,157,CADILLAC,ATS,1,2.0,4,2,1,12.1,7.9,10.2,28,4,900.0,91.8,235
158,158,CADILLAC,ATS,1,2.5,4,1,3,10.5,7.2,9.0,31,4,750.0,67.5,207
159,159,CADILLAC,ATS,1,3.6,6,1,3,12.8,8.5,10.9,26,4,860.0,93.74,251
160,160,CADILLAC,ATS AWD,1,2.0,4,1,1,11.8,8.1,10.1,28,4,900.0,90.9,232
161,161,CADILLAC,ATS AWD,1,3.6,6,1,3,13.1,9.0,11.3,25,4,860.0,97.18,260
162,162,CADILLAC,CTS COUPE,1,3.6,6,1,3,13.2,8.7,11.2,25,4,860.0,96.32,258
163,163,CADILLAC,CTS COUPE AWD,1,3.6,6,1,3,13.3,9.0,11.4,25,4,860.0,98.04,262
164,164,CADILLAC,CTS SEDAN,1,2.0,4,1,1,11.9,7.9,10.1,28,4,900.0,90.9,232
165,165,CADILLAC,CTS SEDAN,1,3.6,6,1,3,12.9,8.2,10.8,26,4,860.0,92.88,248
166,166,CADILLAC,CTS SEDAN AWD,1,2.0,4,1,1,12.6,8.5,10.8,26,4,900.0,97.2,248
167,167,CADILLAC,CTS SEDAN AWD,1,3.6,6,1,3,13.1,9.0,11.3,25,4,860.0,97.18,260
168,168,CADILLAC,CTS SEDAN Vsport,1,3.6,6,1,1,15.1,9.9,12.8,22,5,1060.0,135.68,294
169,169,CADILLAC,CTS SPORT WAGON,1,3.0,6,1,3,12.7,8.9,11.0,26,4,800.0,88.0,253
170,170,CADILLAC,CTS SPORT WAGON,1,3.6,6,1,3,13.3,8.9,11.3,25,4,860.0,97.18,260
171,171,CADILLAC,CTS SPORT WAGON AWD,1,3.0,6,1,3,12.8,9.1,11.1,25,4,800.0,88.8,255
172,172,CADILLAC,CTS SPORT WAGON AWD,1,3.6,6,1,3,13.3,9.0,11.4,25,4,860.0,98.04,262
173,173,CADILLAC,CTS-V COUPE,1,6.2,8,1,1,19.7,12.9,16.6,17,6,1220.0,202.52,382
174,174,CADILLAC,CTS-V COUPE,1,6.2,8,2,1,16.7,12.5,14.8,19,5,1320.0,195.36,340
175,175,CADILLAC,CTS-V SEDAN,1,6.2,8,1,1,19.7,12.9,16.6,17,6,1220.0,202.52,382
176,176,CADILLAC,CTS-V SEDAN,1,6.2,8,2,1,16.7,12.5,14.8,19,5,1320.0,195.36,340
177,177,CADILLAC,CTS-V SPORT WAGON,1,6.2,8,1,1,19.7,12.9,16.6,17,6,1220.0,202.52,382
178,178,CADILLAC,CTS-V SPORT WAGON,1,6.2,8,2,1,16.7,12.5,14.8,19,5,1320.0,195.36,340
179,179,CADILLAC,ESCALADE AWD,1,6.2,8,1,1,17.0,11.8,14.7,19,5,1320.0,194.04,338
181,181,CADILLAC,ESCALADE ESV AWD,1,6.2,8,1,1,18.8,13.4,16.4,17,6,1220.0,200.08,377
183,183,CADILLAC,SRX,1,3.6,6,1,3,14.3,9.8,12.3,23,5,860.0,105.78,283
184,184,CADILLAC,SRX AWD,1,3.6,6,1,3,14.8,10.4,12.8,22,5,860.0,110.08,294
185,185,CADILLAC,XTS,1,3.6,6,1,3,13.6,8.6,11.4,25,4,860.0,98.04,262
186,186,CADILLAC,XTS AWD,1,3.6,6,1,3,14.0,9.1,11.8,24,4,860.0,101.48,271
187,187,CADILLAC,XTS Vsport AWD,1,3.6,6,1,1,14.8,9.8,12.6,22,5,1060.0,133.56,290
188,188,CHEVROLET,CAMARO,1,3.6,6,1,3,13.2,8.7,11.2,25,4,860.0,96.32,258
189,189,CHEVROLET,CAMARO,1,3.6,6,2,3,14.2,8.6,11.7,24,4,860.0,100.62,269
190,190,CHEVROLET,CAMARO 2LS,1,3.6,6,1,3,12.7,7.9,10.5,27,4,860.0,90.3,242
191,191,CHEVROLET,CAMARO SS,1,6.2,8,1,1,15.3,9.8,12.8,22,5,1320.0,168.96,294
192,192,CHEVROLET,CAMARO SS,1,6.2,8,2,1,15.0,9.9,12.7,22,5,1320.0,167.64,292
193,193,CHEVROLET,CAMARO ZL1,1,6.2,8,1,1,19.7,12.9,16.6,17,6,1220.0,202.52,382
194,194,CHEVROLET,CAMARO ZL1,1,6.2,8,2,1,16.7,12.5,14.8,19,5,1320.0,195.36,340
195,195,CHEVROLET,CORVETTE,1,6.2,8,1,1,14.9,8.5,12.0,24,4,1320.0,158.4,276
196,196,CHEVROLET,CORVETTE,1,6.2,8,2,1,13.7,8.2,11.2,25,4,1320.0,147.83999999999995,258
197,197,CHEVROLET,CRUZE,1,1.4,4,1,3,9.1,6.3,7.8,36,4,640.0,49.92,179
198,198,CHEVROLET,CRUZE,1,1.4,4,2,3,9.1,6.3,7.8,36,4,640.0,49.92,179
199,199,CHEVROLET,CRUZE,1,1.8,4,1,3,10.5,6.7,8.8,32,4,680.0,59.84000000000001,202
200,200,CHEVROLET,CRUZE,1,1.8,4,2,3,9.5,6.5,8.2,34,4,680.0,55.75999999999999,189
201,201,CHEVROLET,CRUZE DIESEL,1,2.0,4,1,2,8.7,5.1,7.1,40,4,700.0,49.7,192
202,202,CHEVROLET,CRUZE ECO,1,1.4,4,1,3,9.1,6.0,7.7,37,4,640.0,49.28,177
203,203,CHEVROLET,CRUZE ECO,1,1.4,4,2,3,8.4,5.6,7.1,40,4,640.0,45.44,163
204,204,CHEVROLET,EQUINOX,1,2.4,4,1,3,10.5,7.3,9.1,31,4,740.0,67.34,209
205,205,CHEVROLET,EQUINOX,1,3.6,6,1,3,13.9,9.6,12.0,24,5,860.0,103.2,276
207,207,CHEVROLET,EQUINOX AWD,1,2.4,4,1,3,11.5,8.2,10.0,28,4,740.0,74.0,230
208,208,CHEVROLET,EQUINOX AWD,1,3.6,6,1,3,14.8,9.9,12.6,22,5,860.0,108.36,290
210,210,CHEVROLET,EXPRESS 1500 CARGO,2,4.3,6,1,3,17.1,12.7,15.1,19,5,930.0,140.43,347
211,211,CHEVROLET,EXPRESS 1500 CARGO,2,5.3,8,1,3,18.0,13.4,15.9,18,6,930.0,147.87,366
213,213,CHEVROLET,EXPRESS 1500 CARGO AWD,2,5.3,8,1,3,18.3,14.2,16.5,17,6,930.0,153.45,380
215,215,CHEVROLET,EXPRESS 1500 CARGO CONV,2,5.3,8,1,3,18.6,13.9,16.5,17,6,930.0,153.45,380
217,217,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,2,5.3,8,1,3,18.3,14.2,16.5,17,6,930.0,153.45,380
219,219,CHEVROLET,EXPRESS 1500 PASSENGER,2,5.3,8,1,3,18.6,13.9,16.5,17,6,930.0,153.45,380
221,221,CHEVROLET,EXPRESS 1500 PASSENGER AWD,2,5.3,8,1,3,18.3,14.2,16.5,17,6,930.0,153.45,380
223,223,CHEVROLET,EXPRESS 2500 PASSENGER,2,4.8,8,1,3,21.1,14.2,18.0,16,6,880.0,158.4,414
224,224,CHEVROLET,EXPRESS 2500 PASSENGER,2,6.0,8,1,3,21.9,15.0,18.8,15,6,1000.0,188.0,432
226,226,CHEVROLET,EXPRESS 3500 PASSENGER,2,4.8,8,1,3,21.3,14.3,18.2,16,6,880.0,160.16,419
227,227,CHEVROLET,EXPRESS 3500 PASSENGER,2,6.0,8,1,3,22.1,15.0,18.9,15,6,1000.0,189.0,435
229,229,CHEVROLET,IMPALA,1,2.5,4,1,3,11.3,7.5,9.6,29,4,750.0,72.0,221
230,230,CHEVROLET,IMPALA,1,3.6,6,1,3,12.6,8.2,10.6,27,4,860.0,91.16,244
232,232,CHEVROLET,IMPALA ECO,1,2.4,4,1,3,10.0,7.0,8.7,32,4,740.0,64.38,200
233,233,CHEVROLET,MALIBU,1,2.0,4,1,1,11.5,7.9,9.9,29,4,900.0,89.1,228
234,234,CHEVROLET,MALIBU,1,2.5,4,1,3,9.3,6.4,8.0,35,4,750.0,60.0,184
235,235,CHEVROLET,ORLANDO,1,2.4,4,1,3,12.2,8.6,10.6,27,4,740.0,78.44,244
236,236,CHEVROLET,ORLANDO,1,2.4,4,2,3,11.8,8.3,10.2,28,4,740.0,75.47999999999999,235
237,237,CHEVROLET,SILVERADO,2,4.3,6,1,3,13.4,9.9,11.8,24,5,930.0,109.74,271
239,239,CHEVROLET,SILVERADO,2,5.3,8,1,3,14.6,10.3,12.7,22,5,1030.0,130.81,292
241,241,CHEVROLET,SILVERADO,2,6.2,8,1,1,16.3,11.4,14.1,20,5,1320.0,186.12,324
242,242,CHEVROLET,SILVERADO 4WD,2,4.3,6,1,3,14.2,10.6,12.6,22,5,930.0,117.18,290
244,244,CHEVROLET,SILVERADO 4WD,2,5.3,8,1,3,14.9,10.6,13.0,22,5,1030.0,133.9,299
246,246,CHEVROLET,SILVERADO 4WD,2,6.2,8,1,1,16.4,11.7,14.3,20,5,1320.0,188.76,329
247,247,CHEVROLET,SONIC,1,1.4,4,1,3,9.1,6.7,8.0,35,4,640.0,51.2,184
248,248,CHEVROLET,SONIC,1,1.4,4,2,3,8.5,6.2,7.5,38,4,640.0,48.0,173
249,249,CHEVROLET,SONIC,1,1.8,4,1,3,9.6,6.6,8.3,34,4,680.0,56.44000000000001,191
250,250,CHEVROLET,SONIC,1,1.8,4,2,3,8.9,6.7,7.9,36,4,680.0,53.72,182
251,251,CHEVROLET,SONIC RS,1,1.4,4,1,3,9.4,7.0,8.3,34,4,640.0,53.12,191
252,252,CHEVROLET,SONIC RS,1,1.4,4,2,3,8.8,7.0,8.0,35,4,640.0,51.2,184
253,253,CHEVROLET,SONIC 5,1,1.4,4,1,3,9.1,6.7,8.0,35,4,640.0,51.2,184
254,254,CHEVROLET,SONIC 5,1,1.4,4,2,3,8.5,6.2,7.5,38,4,640.0,48.0,172
255,255,CHEVROLET,SONIC 5,1,1.8,4,1,3,9.6,6.6,8.3,34,4,680.0,56.44000000000001,191
